season,season_order,metric_type,name,flights_per_week,source,updated_at
2019W,0,total,合計(旅客+貨物),5668,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2019W,0,total,合計(旅客便),5219,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023S,1,total,合計(旅客+貨物),3770.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023S,1,total,合計(旅客便),3159,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023W,2,total,合計(旅客+貨物),4865.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023W,2,total,合計(旅客便),4311.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024S,3,total,合計(旅客+貨物),5388,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024S,3,total,合計(旅客便),4874.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024W,4,total,合計(旅客+貨物),5712,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024W,4,total,合計(旅客便),5178,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,total,合計(旅客+貨物),6187.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,total,合計(旅客便),5675,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2026S,6,total,合計(旅客+貨物),5996.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2026S,6,total,合計(旅客便),5445.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2019W,0,direction,アジア・オセアニア,4621.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023S,1,direction,アジア・オセアニア,2912,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023W,2,direction,アジア・オセアニア,3937,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024S,3,direction,アジア・オセアニア,4410.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024W,4,direction,アジア・オセアニア,4763,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,direction,アジア・オセアニア,5179,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2019W,0,direction,アメリカ,642.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023S,1,direction,アメリカ,600.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023W,2,direction,アメリカ,647.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024S,3,direction,アメリカ,664,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024W,4,direction,アメリカ,645,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,direction,アメリカ,669.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2019W,0,direction,欧州・中東・アフリカ,372.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023S,1,direction,欧州・中東・アフリカ,228,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023W,2,direction,欧州・中東・アフリカ,254.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024S,3,direction,欧州・中東・アフリカ,291.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024W,4,direction,欧州・中東・アフリカ,281.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,direction,欧州・中東・アフリカ,314,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2019W,0,direction,その他(貨物等),31.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023S,1,direction,その他(貨物等),30,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023W,2,direction,その他(貨物等),26.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024S,3,direction,その他(貨物等),22,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024W,4,direction,その他(貨物等),22.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,direction,その他(貨物等),25,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2019W,0,airport,成田,1955.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023S,1,airport,成田,1408.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023W,2,airport,成田,1633,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024S,3,airport,成田,1757.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024W,4,airport,成田,1803.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,airport,成田,1917.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2019W,0,airport,羽田,814.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023S,1,airport,羽田,803.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023W,2,airport,羽田,982,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024S,3,airport,羽田,1045.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024W,4,airport,羽田,1079,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,airport,羽田,1101.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2019W,0,airport,関西,1468,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023S,1,airport,関西,847,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023W,2,airport,関西,1181.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024S,3,airport,関西,1320.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024W,4,airport,関西,1451,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,airport,関西,1614,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2019W,0,airport,中部,474,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023S,1,airport,中部,175,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023W,2,airport,中部,263.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024S,3,airport,中部,319,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024W,4,airport,中部,339.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,airport,中部,376,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2019W,0,airport,福岡,316,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023S,1,airport,福岡,294,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023W,2,airport,福岡,392,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024S,3,airport,福岡,431,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024W,4,airport,福岡,418,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,airport,福岡,478,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2019W,0,airport,地方空港計,640,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023S,1,airport,地方空港計,242.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023W,2,airport,地方空港計,413.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024S,3,airport,地方空港計,514.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024W,4,airport,地方空港計,621,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,airport,地方空港計,700.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
