country,stage,signal,source,strategic_question,action
韓国,認知,SNSとリピート経験から短期旅行の候補に入りやすい,ニュース・SNS・Google Trends,週末旅行や近距離旅行の関心が上がっているか,短期滞在向けの季節商品と地方周遊を訴求
韓国,検討,航空便と価格に反応しやすい,航空便・為替・旅行メディア,航空供給や旅行費用に制約がないか,直行便が多い地域と価格訴求を組み合わせる
韓国,予約,直前予約と短期滞在が多くなりやすい,宿泊予約・OTA・観光予報,直近週の予約が伸びているか,直前需要に合わせた広告と在庫調整
韓国,来訪,月次訪日者数の変化を追う,JNTO訪日外客統計,前年差と2019年比の両方で増えているか,主力市場として安定施策と再訪促進を両立
韓国,滞在,都市部と近距離地方への滞在を確認する,宿泊旅行統計・都道府県訪問率,訪問先が偏っていないか,地方の食と買い物体験へ送客
韓国,再訪,口コミと再訪意向が次回需要につながる,口コミ・満足度・SNS,不満要因や混雑評価が出ていないか,再訪向けテーマ旅行を強化
中国,認知,政策や評判の影響を受けやすい,ニュース・SNS・検索,対日関心や評判が改善しているか,安心安全と買い物以外の価値を訴求
中国,検討,航空便・団体旅行・ビザ条件の影響が大きい,航空便・政策情報・旅行会社,渡航制約や団体旅行の戻りがあるか,団体と個人旅行を分けて施策設計
中国,予約,回復局面では供給と価格がボトルネックになりやすい,航空座席・宿泊予約,座席供給と宿泊予約が連動しているか,都市部から地方への受け皿を準備
中国,来訪,2019年比で回復余地を見る,JNTO訪日外客統計,人数が戻っているのか回復途上なのか,回復余地の大きい市場として段階的に投資
中国,滞在,買い物・都市観光・広域周遊を確認する,消費動向調査・宿泊統計,消費単価と訪問先が戻っているか,高単価需要と地方誘客を分けて見る
中国,再訪,評判と体験品質が再訪を左右する,口コミ・ニュース・満足度,ネガティブ要因が再燃していないか,滞在体験と受入環境の改善を優先
台湾,認知,親日度と季節旅行の関心が強い,Google Trends・旅行メディア,季節イベントや地方旅行の関心が高いか,四季と地方体験を前面に出す
台湾,検討,リピーターが多く訪問先比較が起きやすい,旅行メディア・SNS,定番以外の地域が候補に入っているか,地方のテーマ別導線を増やす
台湾,予約,航空便と宿泊在庫に反応する,航空便・宿泊予約,連休前に予約が伸びているか,連休需要に合わせた地域別施策
台湾,来訪,安定した主要市場として推移を見る,JNTO訪日外客統計,人数とシェアが安定しているか,主力市場として維持しつつ分散を促す
台湾,滞在,地方訪問とリピート行動を見る,宿泊統計・都道府県訪問率,地方宿泊が伸びているか,地方観光と公共交通情報を強化
台湾,再訪,口コミと季節体験が再訪につながる,SNS・口コミ・満足度,再訪したくなるテーマがあるか,リピーター向け深掘りコンテンツ
香港,認知,都市旅行と日本の新しい話題に反応しやすい,SNS・旅行メディア,新施設やイベントへの関心があるか,新規開業・イベントを訴求
香港,検討,短期休暇と航空便の影響を受ける,航空便・旅行メディア,連休に合わせた需要があるか,週末と短期滞在の商品を強化
香港,予約,宿泊価格と空室が判断材料になりやすい,宿泊予約・OTA,価格上昇で離脱していないか,価格帯別の選択肢を提示
香港,来訪,安定市場として前年比とシェアを見る,JNTO訪日外客統計,シェアが落ちていないか,競合地域との差別化を明確化
香港,滞在,都市部と地方の組み合わせを見る,宿泊統計・都道府県訪問率,地方滞在へ広がっているか,都市滞在から近郊周遊へ誘導
香港,再訪,満足度と新規体験が再訪を生む,口コミ・SNS,既訪者に新しい理由を出せているか,再訪者向け新テーマを増やす
米国,認知,円安と日本文化への関心が入口になる,Google Trends・ニュース,Japan travel検索が伸びているか,文化体験と長期滞在価値を訴求
米国,検討,長距離旅行のため航空便と休暇計画が重要,航空便・為替・旅行メディア,航空供給と価格が需要を支えているか,早期検討層への情報接触を増やす
米国,予約,予約リードタイムが長めになりやすい,宿泊予約・航空予約,数か月先の予約が増えているか,早期予約向けの地域別提案
米国,来訪,人数と高単価ポテンシャルを同時に見る,JNTO訪日外客統計・消費動向,人数増が消費増につながっているか,高付加価値体験と広域周遊を強化
米国,滞在,長期滞在と広域周遊を確認する,宿泊統計・消費動向,滞在日数と訪問地域が伸びているか,周遊ルートと体験予約を整備
米国,再訪,体験品質と口コミが次の検討に影響する,口コミ・満足度,期待値とのギャップがないか,英語情報と予約体験を改善
タイ,認知,日本旅行への憧れと季節性が強い,SNS・Google Trends,桜や雪など季節関心が上がっているか,季節テーマを早めに訴求
タイ,検討,為替と航空便が旅行判断に影響する,為替・航空便・旅行メディア,旅行費用の負担感が増えていないか,価格帯別のモデルコースを出す
タイ,予約,連休や学校休暇に合わせた予約が動く,宿泊予約・旅行会社,休暇前に予約が伸びているか,休暇カレンダーに合わせて出稿
タイ,来訪,前年比と季節波動を見る,JNTO訪日外客統計,季節需要が取り込めているか,季節イベントと地方誘客を連動
タイ,滞在,雪・自然・買い物など目的別に見る,宿泊統計・都道府県訪問率,訪問目的に合う地域へ来ているか,テーマ別に地域を推薦
タイ,再訪,体験共有が次の需要を作る,SNS・口コミ,話題化する体験があるか,写真映えと体験型商品の導線を整える
豪州,認知,スキー・自然・長期休暇の関心が入口になる,Google Trends・旅行メディア,季節スポーツや自然体験の検索が伸びているか,冬季と自然体験を前面に出す
豪州,検討,長距離旅行のため航空便と滞在価値が重要,航空便・為替,航空供給が需要を支えているか,長期滞在向けの広域ルートを訴求
豪州,予約,早期予約と季節需要が重なりやすい,宿泊予約・航空予約,冬季や休暇期の予約が先行しているか,季節別に早期販売を強化
豪州,来訪,人数と季節集中を確認する,JNTO訪日外客統計,冬季偏重が強すぎないか,季節分散の余地を探る
豪州,滞在,地方滞在と体験消費を確認する,宿泊統計・消費動向,広域周遊と消費単価が伸びているか,自然・アクティビティ地域へ送客
豪州,再訪,体験満足度が口コミで広がる,口コミ・満足度,滞在体験の評価が高いか,現地目線の体験情報を増やす
シンガポール,認知,高所得層と短期休暇の需要がある,SNS・旅行メディア,高付加価値旅行への関心があるか,上質な食・宿泊・体験を訴求
シンガポール,検討,航空便と価格よりも体験価値が効きやすい,航空便・旅行メディア,競合旅行先と比べた魅力があるか,目的別の高品質ルートを提示
シンガポール,予約,休暇時期と宿泊グレードを確認する,宿泊予約・OTA,高単価宿泊の予約があるか,高付加価値商品を目立たせる
シンガポール,来訪,人数規模と単価を合わせて見る,JNTO訪日外客統計・消費動向,人数以上に消費機会があるか,少人数高単価市場として扱う
シンガポール,滞在,都市・食・自然体験の組み合わせを見る,宿泊統計・都道府県訪問率,地方や高付加価値体験に広がっているか,テーマ型周遊を設計
シンガポール,再訪,新しい体験の提示が再訪を促す,SNS・口コミ,リピーターに新鮮さを出せているか,季節ごとに体験を入れ替える
